id_contrat,type_paiement,date_prevu,date_effectue,montant
1,honoraires,16-12-19,04-03-20,1000.0
2,commissions,21-02-18,24-07-20,580.24
3,frais,29-04-18,15-09-21,814.87
4,commissions,02-04-19,06-12-21,246.76
5,commissions,15-11-19,09-02-20,473.24
6,honoraires,27-03-18,13-10-20,979.3
7,commissions,21-04-18,10-11-20,377.32
8,honoraires,23-05-19,12-01-20,638.58
9,honoraires,15-02-18,10-08-20,1600.0
10,frais,20-09-18,27-08-21,250.0
10,frais,20-09-18,27-09-21,250.0
10,frais,20-09-18,27-10-21,250.0
10,frais,20-09-18,27-11-21,250.0
11,frais,26-12-18,25-06-21,400.0
11,frais,26-12-18,25-07-21,400.0
12,commissions,25-04-19,05-03-20,300.0
12,commissions,25-04-19,05-04-20,300.0
13,frais,17-11-18,18-08-21,440.7
14,frais,02-05-18,20-06-21,850.37
15,frais,09-07-19,12-06-20,980.94
16,frais,16-12-18,15-01-20,909.21
17,frais,23-03-19,09-12-20,249.83
18,frais,14-02-19,21-05-21,1270.6
19,commissions,26-09-18,12-11-20,786.67
