date_debut_contrat,date_fin_contrat,remuneration
25-12-19,19-08-23,1000.0
16-09-18,28-09-20,580.24
16-10-18,03-01-24,814.87
07-12-18,11-03-22,246.76
04-03-19,25-02-24,473.24
19-11-19,22-09-24,979.3
03-04-19,24-04-23,377.32
29-12-19,05-09-23,638.58
08-02-19,19-10-20,1600.0
21-09-19,29-11-21,1000.0
09-11-19,10-04-23,800.0
17-06-18,15-12-21,600.0
15-01-18,26-03-22,440.7
26-04-18,26-09-22,850.37
14-06-18,20-06-24,980.94
25-04-18,21-01-20,909.21
02-12-19,07-05-24,249.83
10-01-19,05-03-22,1270.6
10-02-19,31-10-24,786.67
